,Name
37,Ackroyd Drive
85,Admirals Way
91,At the entrance of MOT station
92,At the exit of MOT station
84,Augusta St/Giraud St
29,Ben Johnson Road
73,Bethnal Green Rd/ Brick Lane
2,Bethnal Grn Rd/ Brick Lane
68,Blair Street (End of Street)
21,Bonner Road
45,Bow Common Lane/St Paul's Way
43,Bow Rd /Glebe Terrace
49,Bow Rd/Alfred St
8,Brick Lane/Princelet St
17,Brodlove Lane
88,Bromley High Street/ St Leonards
65,Bromley High Street/ St leonards
9,Buckfast St/Bethnal Green Rd
1,Calvert Ave/Boundary Street
74,Cartwright Street
48,"Cascades, Westferry Road"
19,Cavell St/Stepney Way
60,Chrisp Street/E India Dock Road 
0,Colombia Rd/Gossett Street
3,Commercial St/Calvin St
15,Dellow St/The Highway
66,Devas Street /Devons road
62,Devons Road / Campbell Road 
38,Dod St/Burdett Rd
46,Dolphin Lane
42,Fairfield Road/Tredegar Road 
23,Fieldgate Street
12,Finnis St/Three Colts Lane
31,Ford Close/Roman Rd
25,Globe Rd/Mile End Rd
22,Grove Rd/Old Ford Rd
59,Hale Street
20,Hannibal Rd/Mile End Rd
30,Harford St/Mile End Rd
63,Hatfield Terrace/Fairfield Road
58,John Smith Mews
18,Jubilee Street/Commercial Rd
56,Lawnhouse Close 
52,Limeharbour
27,Locksley St/St Paul's Way
53,Manchester Road/East Ferry Road
55,Manchester Road/Ollife Street 
5,Mansell St
50,Mast House Terrace
89,Mile End Road Corner Bancroft Rd
51,Millwall Park
93,Millwall Park- North Greenwich Bowls Club (Co-location site)
94,Millwall Park- North Greenwich Bowls Club(Co-location site)
61,Morris/Barchester Street
81,Narrow St/Limehouse Link
70,Newport Avenue
11,Paradise Row/Bethnal Green Rd
77,Parmiter St/ Cambridge Heath Road
33,Parnell Rd/Old Ford Rd
14,Philpot St/Commercial Road
80,Pitsea St/Commercial Rd
87,Poplar High St/Cotton St
69,Portree Street
57,Prestons Road/ Coldharbour
78,Queensbridge Rd/Hackney Rd
28,Rhodeswell Rd
35,Rhondda Grove/Mile End Rd
39,Rich Street
79,Roman Rd/Globe Road
72,Sextant Avenue
54,Seyssel Street
90,Shirbutt St o/s Holy Family School
13,Sidney St/Mile End Rd
76,Squirries St/Gosset St
6,St Katherine's Way
34,St Stephen's Rd/Tredegar Rd
26,Stepney Green
44,TH Cemetery Park
71,Thames Path Storers Quay
82,Thoydon Rd
86,Toynbee St/Commercial St
32,Victoria Park
83,Victoria Park (Co-location site)
7,Wapping High St/Sampson St
16,Wapping Wall/Garnet St
10,Warner Place/Hackney Rd
40,Watney Market
36,Wentworth Mews
47,Westferry Road/Limehouse Link jnct
4,Whitechapel High St (KFC)
24,Whitechapel Market
75,Whitechapel Rd/Adler St
41,Wick Lane/Autumn St
64,Wrexham Road
67,Zetland Street/A12
